Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
06/12/2021,"Other, NH",Fully Vaccinated,Any,39.7,4886,,5,2,NULL
06/19/2021,"Other, NH",Fully Vaccinated,Any,41.4,4878,,5,2,NULL
06/26/2021,"Other, NH",Fully Vaccinated,Any,42.6,4883,,5,2,NULL
07/03/2021,"Other, NH",Fully Vaccinated,Any,43.5,4876,,5,2,NULL
07/10/2021,"Other, NH",Fully Vaccinated,Any,44.5,4874,,5,2,NULL
07/17/2021,"Other, NH",Fully Vaccinated,Any,45.6,4891,,5,2,NULL
07/24/2021,"Other, NH",Fully Vaccinated,Any,46.7,4871,,5,2,NULL
07/31/2021,"Other, NH",Fully Vaccinated,Any,47.8,4846,,5,2,NULL
08/07/2021,"Other, NH",Fully Vaccinated,Any,48.9,4842,,5,2,NULL
08/14/2021,"Other, NH",Fully Vaccinated,Any,49.6,4817,,5,2,NULL
08/21/2021,"Other, NH",Fully Vaccinated,Any,51,4815,,5,2,NULL
08/28/2021,"Other, NH",Fully Vaccinated,Any,52.3,4794,,5,2,NULL
09/04/2021,"Other, NH",Fully Vaccinated,Any,53.7,4801,,5,2,NULL
09/11/2021,"Other, NH",Fully Vaccinated,Any,55.4,4803,,5,2,NULL
09/18/2021,"Other, NH",Fully Vaccinated,Any,57.6,4800,,5,2,NULL
09/25/2021,"Other, NH",Fully Vaccinated,Any,59.3,4798,,5,2,NULL
10/02/2021,"Other, NH",Fully Vaccinated,Any,60.6,4793,,5,2,NULL
10/09/2021,"Other, NH",Fully Vaccinated,Any,61.3,4794,,5,2,NULL
10/16/2021,"Other, NH",Fully Vaccinated,Any,62.3,4796,,5,2,NULL
10/23/2021,"Other, NH",Fully Vaccinated,Any,62.8,4826,,5,2,NULL
10/30/2021,"Other, NH",Fully Vaccinated,Any,63.2,4838,,5,2,NULL
11/06/2021,"Other, NH",Fully Vaccinated,Any,63.9,4830,,5,2,NULL
11/13/2021,"Other, NH",Fully Vaccinated,Any,64.5,4870,,5,2,NULL
11/20/2021,"Other, NH",Fully Vaccinated,Any,64.9,4866,,5,2,NULL
11/27/2021,"Other, NH",Fully Vaccinated,Any,65.1,4881,,5,2,NULL
12/04/2021,"Other, NH",Fully Vaccinated,Any,65.6,4898,,5,2,NULL
12/11/2021,"Other, NH",Fully Vaccinated,Any,65.9,4915,,5,2,NULL
12/18/2021,"Other, NH",Fully Vaccinated,Any,66,4907,,5,2,NULL
12/25/2021,"Other, NH",Fully Vaccinated,Any,66.4,4919,,5,2,NULL
01/01/2022,"Other, NH",Fully Vaccinated,Any,66.3,4897,,5,2,NULL
01/08/2022,"Other, NH",Fully Vaccinated,Any,66.8,4893,,5,2,NULL
01/15/2022,"Other, NH",Fully Vaccinated,Any,67.3,4919,,5,2,NULL
01/22/2022,"Other, NH",Fully Vaccinated,Any,67.7,4931,,5,2,NULL
01/29/2022,"Other, NH",Fully Vaccinated,Any,68,4976,,5,2,NULL
02/05/2022,"Other, NH",Fully Vaccinated,Any,68.3,5017,,5,2,NULL
02/12/2022,"Other, NH",Fully Vaccinated,Any,68.6,5056,,5,2,NULL
02/19/2022,"Other, NH",Fully Vaccinated,Any,68.7,5031,,5,2,NULL
02/26/2022,"Other, NH",Fully Vaccinated,Any,68.7,5025,,5,2,NULL
03/05/2022,"Other, NH",Fully Vaccinated,Any,68.4,5028,,5,2,NULL
03/12/2022,"Other, NH",Fully Vaccinated,Any,68.5,5037,,5,2,NULL
03/19/2022,"Other, NH",Fully Vaccinated,Any,68.9,5052,,5,2,NULL
03/26/2022,"Other, NH",Fully Vaccinated,Any,68.7,5073,,5,2,NULL
04/02/2022,"Other, NH",Fully Vaccinated,Any,68.9,5073,,5,2,NULL
04/09/2022,"Other, NH",Fully Vaccinated,Any,68.9,5064,,5,2,NULL
04/16/2022,"Other, NH",Fully Vaccinated,Any,69.3,5028,,5,2,NULL
04/23/2022,"Other, NH",Fully Vaccinated,Any,69.3,5003,,5,2,NULL
04/30/2022,"Other, NH",Fully Vaccinated,Any,69.4,4975,,5,2,NULL
05/07/2022,"Other, NH",Fully Vaccinated,Any,69.4,4951,,5,2,NULL
05/14/2022,"Other, NH",Fully Vaccinated,Any,69.6,4932,,5,2,NULL
05/21/2022,"Other, NH",Fully Vaccinated,Any,69.7,4898,,5,2,NULL
05/28/2022,"Other, NH",Fully Vaccinated,Any,69.8,4849,,5,2,NULL
06/04/2022,"Other, NH",Fully Vaccinated,Any,69.9,4793,,5,2,NULL
06/11/2022,"Other, NH",Fully Vaccinated,Any,70.1,4730,,5,2,NULL
06/18/2022,"Other, NH",Fully Vaccinated,Any,70,4621,,5,2,NULL
06/25/2022,"Other, NH",Fully Vaccinated,Any,70.2,4513,,5,2,NULL
07/02/2022,"Other, NH",Fully Vaccinated,Any,70,4401,,5,2,NULL
07/09/2022,"Other, NH",Fully Vaccinated,Any,70.2,4229,,5,2,NULL
07/16/2022,"Other, NH",Fully Vaccinated,Any,70.2,4008,,5,2,NULL
07/23/2022,"Other, NH",Fully Vaccinated,Any,70.2,3858,,5,2,NULL
07/30/2022,"Other, NH",Fully Vaccinated,Any,70.3,3703,,5,2,NULL
08/06/2022,"Other, NH",Fully Vaccinated,Any,70.3,3542,,5,2,NULL
08/13/2022,"Other, NH",Fully Vaccinated,Any,70.2,3389,,5,2,NULL
08/20/2022,"Other, NH",Fully Vaccinated,Any,70.4,3294,,5,2,NULL
08/27/2022,"Other, NH",Fully Vaccinated,Any,70.4,3209,,5,2,NULL
01/09/2021,"White, NH",Fully Vaccinated,Any,0.3,35493,,6,2,NULL
01/16/2021,"White, NH",Fully Vaccinated,Any,0.9,35620,,6,2,NULL
01/23/2021,"White, NH",Fully Vaccinated,Any,1.6,35602,,6,2,NULL
01/30/2021,"White, NH",Fully Vaccinated,Any,2.4,35640,,6,2,NULL
02/06/2021,"White, NH",Fully Vaccinated,Any,3.4,35684,,6,2,NULL
02/13/2021,"White, NH",Fully Vaccinated,Any,4.6,35592,,6,2,NULL
02/20/2021,"White, NH",Fully Vaccinated,Any,5.8,35517,,6,2,NULL
02/27/2021,"White, NH",Fully Vaccinated,Any,7,35576,,6,2,NULL
03/06/2021,"White, NH",Fully Vaccinated,Any,8.2,35552,,6,2,NULL
03/13/2021,"White, NH",Fully Vaccinated,Any,9.8,35471,,6,2,NULL
03/20/2021,"White, NH",Fully Vaccinated,Any,11.7,35344,,6,2,NULL
03/27/2021,"White, NH",Fully Vaccinated,Any,14.3,35259,,6,2,NULL
04/03/2021,"White, NH",Fully Vaccinated,Any,16.9,35147,,6,2,NULL
04/10/2021,"White, NH",Fully Vaccinated,Any,20.2,35076,,6,2,NULL
04/17/2021,"White, NH",Fully Vaccinated,Any,24,35047,,6,2,NULL
04/24/2021,"White, NH",Fully Vaccinated,Any,28,34948,,6,2,NULL
05/01/2021,"White, NH",Fully Vaccinated,Any,31.1,34910,,6,2,NULL
05/08/2021,"White, NH",Fully Vaccinated,Any,34.1,34866,,6,2,NULL
05/15/2021,"White, NH",Fully Vaccinated,Any,36.5,34767,,6,2,NULL
05/22/2021,"White, NH",Fully Vaccinated,Any,38.5,34748,,6,2,NULL
05/29/2021,"White, NH",Fully Vaccinated,Any,40.4,34704,,6,2,NULL
06/05/2021,"White, NH",Fully Vaccinated,Any,41.8,34620,,6,2,NULL
06/12/2021,"White, NH",Fully Vaccinated,Any,43.1,34531,,6,2,NULL
06/19/2021,"White, NH",Fully Vaccinated,Any,44.4,34487,,6,2,NULL
06/26/2021,"White, NH",Fully Vaccinated,Any,45.5,34539,,6,2,NULL
07/03/2021,"White, NH",Fully Vaccinated,Any,46.4,34535,,6,2,NULL
07/10/2021,"White, NH",Fully Vaccinated,Any,47.5,34525,,6,2,NULL
07/17/2021,"White, NH",Fully Vaccinated,Any,48.4,34536,,6,2,NULL
07/24/2021,"White, NH",Fully Vaccinated,Any,49.1,34532,,6,2,NULL
07/31/2021,"White, NH",Fully Vaccinated,Any,49.9,34495,,6,2,NULL
08/07/2021,"White, NH",Fully Vaccinated,Any,50.7,34460,,6,2,NULL
08/14/2021,"White, NH",Fully Vaccinated,Any,51.8,34432,,6,2,NULL
08/21/2021,"White, NH",Fully Vaccinated,Any,52.9,34401,,6,2,NULL
08/28/2021,"White, NH",Fully Vaccinated,Any,54,34393,,6,2,NULL
09/04/2021,"White, NH",Fully Vaccinated,Any,55.1,34434,,6,2,NULL
09/11/2021,"White, NH",Fully Vaccinated,Any,56.2,34399,,6,2,NULL
09/18/2021,"White, NH",Fully Vaccinated,Any,57.6,34521,,6,2,NULL
09/25/2021,"White, NH",Fully Vaccinated,Any,59,34469,,6,2,NULL
10/02/2021,"White, NH",Fully Vaccinated,Any,60,34518,,6,2,NULL
10/09/2021,"White, NH",Fully Vaccinated,Any,60.9,34520,,6,2,NULL
10/16/2021,"White, NH",Fully Vaccinated,Any,61.7,34545,,6,2,NULL
10/23/2021,"White, NH",Fully Vaccinated,Any,62.3,34496,,6,2,NULL
10/30/2021,"White, NH",Fully Vaccinated,Any,62.7,34570,,6,2,NULL
11/06/2021,"White, NH",Fully Vaccinated,Any,63.3,34600,,6,2,NULL
11/13/2021,"White, NH",Fully Vaccinated,Any,63.7,34707,,6,2,NULL
11/20/2021,"White, NH",Fully Vaccinated,Any,64.1,34666,,6,2,NULL
11/27/2021,"White, NH",Fully Vaccinated,Any,64.3,34756,,6,2,NULL
12/04/2021,"White, NH",Fully Vaccinated,Any,64.6,34884,,6,2,NULL
12/11/2021,"White, NH",Fully Vaccinated,Any,64.9,34892,,6,2,NULL
12/18/2021,"White, NH",Fully Vaccinated,Any,65.1,34962,,6,2,NULL
12/25/2021,"White, NH",Fully Vaccinated,Any,65.3,34962,,6,2,NULL
01/01/2022,"White, NH",Fully Vaccinated,Any,65.6,35076,,6,2,NULL
01/08/2022,"White, NH",Fully Vaccinated,Any,65.8,35006,,6,2,NULL
01/15/2022,"White, NH",Fully Vaccinated,Any,66,34944,,6,2,NULL
01/22/2022,"White, NH",Fully Vaccinated,Any,66.2,34935,,6,2,NULL
01/29/2022,"White, NH",Fully Vaccinated,Any,66.5,34930,,6,2,NULL
02/05/2022,"White, NH",Fully Vaccinated,Any,66.7,34901,,6,2,NULL
02/12/2022,"White, NH",Fully Vaccinated,Any,66.7,34861,,6,2,NULL
02/19/2022,"White, NH",Fully Vaccinated,Any,66.9,34703,,6,2,NULL
02/26/2022,"White, NH",Fully Vaccinated,Any,67,34703,,6,2,NULL
03/05/2022,"White, NH",Fully Vaccinated,Any,67.1,34557,,6,2,NULL
03/12/2022,"White, NH",Fully Vaccinated,Any,67.2,34403,,6,2,NULL
03/19/2022,"White, NH",Fully Vaccinated,Any,67.3,34308,,6,2,NULL
03/26/2022,"White, NH",Fully Vaccinated,Any,67.4,34256,,6,2,NULL
04/02/2022,"White, NH",Fully Vaccinated,Any,67.4,34150,,6,2,NULL
04/09/2022,"White, NH",Fully Vaccinated,Any,67.3,34026,,6,2,NULL
04/16/2022,"White, NH",Fully Vaccinated,Any,67.4,33897,,6,2,NULL
04/23/2022,"White, NH",Fully Vaccinated,Any,67.4,33712,,6,2,NULL
04/30/2022,"White, NH",Fully Vaccinated,Any,67.5,33571,,6,2,NULL
05/07/2022,"White, NH",Fully Vaccinated,Any,67.6,33227,,6,2,NULL
05/14/2022,"White, NH",Fully Vaccinated,Any,67.5,32901,,6,2,NULL
05/21/2022,"White, NH",Fully Vaccinated,Any,67.6,32546,,6,2,NULL
05/28/2022,"White, NH",Fully Vaccinated,Any,67.6,32089,,6,2,NULL
06/04/2022,"White, NH",Fully Vaccinated,Any,67.6,31528,,6,2,NULL
06/11/2022,"White, NH",Fully Vaccinated,Any,67.8,30956,,6,2,NULL
06/18/2022,"White, NH",Fully Vaccinated,Any,67.8,30297,,6,2,NULL
06/25/2022,"White, NH",Fully Vaccinated,Any,67.9,29594,,6,2,NULL
07/02/2022,"White, NH",Fully Vaccinated,Any,68,28696,,6,2,NULL
07/09/2022,"White, NH",Fully Vaccinated,Any,68,27712,,6,2,NULL
07/16/2022,"White, NH",Fully Vaccinated,Any,67.6,25385,,6,2,NULL
07/23/2022,"White, NH",Fully Vaccinated,Any,67.6,24367,,6,2,NULL
07/30/2022,"White, NH",Fully Vaccinated,Any,67.6,23397,,6,2,NULL
08/06/2022,"White, NH",Fully Vaccinated,Any,67.5,22506,,6,2,NULL
08/13/2022,"White, NH",Fully Vaccinated,Any,67.6,21597,,6,2,NULL
08/20/2022,"White, NH",Fully Vaccinated,Any,67.7,20944,,6,2,NULL
08/27/2022,"White, NH",Fully Vaccinated,Any,67.7,20273,,6,2,NULL
08/21/2021,All Races/Ethnicity,Booster Dose,Any,0.6,53052,,1,3,NULL
08/28/2021,All Races/Ethnicity,Booster Dose,Any,0.7,54358,,1,3,NULL
09/04/2021,All Races/Ethnicity,Booster Dose,Any,0.8,55905,,1,3,NULL
09/11/2021,All Races/Ethnicity,Booster Dose,Any,0.9,57618,,1,3,NULL
09/18/2021,All Races/Ethnicity,Booster Dose,Any,1,59667,,1,3,NULL
09/25/2021,All Races/Ethnicity,Booster Dose,Any,1.1,61478,,1,3,NULL
10/02/2021,All Races/Ethnicity,Booster Dose,Any,2.4,62908,,1,3,NULL
10/09/2021,All Races/Ethnicity,Booster Dose,Any,3.8,64173,,1,3,NULL
10/16/2021,All Races/Ethnicity,Booster Dose,Any,5.2,65354,,1,3,NULL
10/23/2021,All Races/Ethnicity,Booster Dose,Any,6.7,66437,,1,3,NULL
10/30/2021,All Races/Ethnicity,Booster Dose,Any,9.2,67418,,1,3,NULL
11/06/2021,All Races/Ethnicity,Booster Dose,Any,11.8,68456,,1,3,NULL
11/13/2021,All Races/Ethnicity,Booster Dose,Any,14.4,69261,,1,3,NULL
11/20/2021,All Races/Ethnicity,Booster Dose,Any,17.3,69865,,1,3,NULL
11/27/2021,All Races/Ethnicity,Booster Dose,Any,19.7,70480,,1,3,NULL
12/04/2021,All Races/Ethnicity,Booster Dose,Any,22.6,71287,,1,3,NULL
12/11/2021,All Races/Ethnicity,Booster Dose,Any,26,71655,,1,3,NULL
12/18/2021,All Races/Ethnicity,Booster Dose,Any,29.4,72227,,1,3,NULL
12/25/2021,All Races/Ethnicity,Booster Dose,Any,32.1,72547,,1,3,NULL
01/01/2022,All Races/Ethnicity,Booster Dose,Any,34.7,73168,,1,3,NULL
01/08/2022,All Races/Ethnicity,Booster Dose,Any,38,73572,,1,3,NULL
01/15/2022,All Races/Ethnicity,Booster Dose,Any,41.3,73947,,1,3,NULL
01/22/2022,All Races/Ethnicity,Booster Dose,Any,44,74254,,1,3,NULL
01/29/2022,All Races/Ethnicity,Booster Dose,Any,46.5,74740,,1,3,NULL
02/05/2022,All Races/Ethnicity,Booster Dose,Any,48.2,75252,,1,3,NULL
02/12/2022,All Races/Ethnicity,Booster Dose,Any,49.4,75447,,1,3,NULL
02/19/2022,All Races/Ethnicity,Booster Dose,Any,50.2,75488,,1,3,NULL
02/26/2022,All Races/Ethnicity,Booster Dose,Any,51.2,75757,,1,3,NULL
03/05/2022,All Races/Ethnicity,Booster Dose,Any,52.1,75835,,1,3,NULL
03/12/2022,All Races/Ethnicity,Booster Dose,Any,52.7,75880,,1,3,NULL
03/19/2022,All Races/Ethnicity,Booster Dose,Any,53.1,75933,,1,3,NULL
03/26/2022,All Races/Ethnicity,Booster Dose,Any,53.5,76001,,1,3,NULL
04/02/2022,All Races/Ethnicity,Booster Dose,Any,53.9,75862,,1,3,NULL
04/09/2022,All Races/Ethnicity,Booster Dose,Any,54.1,75678,,1,3,NULL
04/16/2022,All Races/Ethnicity,Booster Dose,Any,54.4,75566,,1,3,NULL
04/23/2022,All Races/Ethnicity,Booster Dose,Any,54.7,75303,,1,3,NULL
04/30/2022,All Races/Ethnicity,Booster Dose,Any,55,75005,,1,3,NULL
05/07/2022,All Races/Ethnicity,Booster Dose,Any,55.3,74560,,1,3,NULL
01/08/2022,Hispanic/Latino,Booster Dose,Any,24.7,24883,,4,3,NULL
01/15/2022,Hispanic/Latino,Booster Dose,Any,27.7,25041,,4,3,NULL
01/22/2022,Hispanic/Latino,Booster Dose,Any,30.4,25199,,4,3,NULL
01/29/2022,Hispanic/Latino,Booster Dose,Any,33.4,25320,,4,3,NULL
02/05/2022,Hispanic/Latino,Booster Dose,Any,35.4,25512,,4,3,NULL
02/12/2022,Hispanic/Latino,Booster Dose,Any,37,25614,,4,3,NULL
02/19/2022,Hispanic/Latino,Booster Dose,Any,38.2,25691,,4,3,NULL
02/26/2022,Hispanic/Latino,Booster Dose,Any,39.6,25845,,4,3,NULL
03/05/2022,Hispanic/Latino,Booster Dose,Any,40.8,25951,,4,3,NULL
03/12/2022,Hispanic/Latino,Booster Dose,Any,41.7,26019,,4,3,NULL
03/19/2022,Hispanic/Latino,Booster Dose,Any,42.4,26019,,4,3,NULL
03/26/2022,Hispanic/Latino,Booster Dose,Any,42.9,26054,,4,3,NULL
04/02/2022,Hispanic/Latino,Booster Dose,Any,43.4,26051,,4,3,NULL
04/09/2022,Hispanic/Latino,Booster Dose,Any,43.9,26031,,4,3,NULL
04/16/2022,Hispanic/Latino,Booster Dose,Any,44.3,26000,,4,3,NULL
04/23/2022,Hispanic/Latino,Booster Dose,Any,44.7,25973,,4,3,NULL
04/30/2022,Hispanic/Latino,Booster Dose,Any,45.1,25884,,4,3,NULL
05/07/2022,Hispanic/Latino,Booster Dose,Any,45.5,25764,,4,3,NULL
05/14/2022,Hispanic/Latino,Booster Dose,Any,45.7,25601,,4,3,NULL
05/21/2022,Hispanic/Latino,Booster Dose,Any,46,25354,,4,3,NULL
05/28/2022,Hispanic/Latino,Booster Dose,Any,46.2,25122,,4,3,NULL
06/04/2022,Hispanic/Latino,Booster Dose,Any,46.6,24786,,4,3,NULL
06/11/2022,Hispanic/Latino,Booster Dose,Any,47,24431,,4,3,NULL
06/18/2022,Hispanic/Latino,Booster Dose,Any,47.3,23964,,4,3,NULL
06/25/2022,Hispanic/Latino,Booster Dose,Any,47.7,23439,,4,3,NULL
07/02/2022,Hispanic/Latino,Booster Dose,Any,47.8,22760,,4,3,NULL
07/09/2022,Hispanic/Latino,Booster Dose,Any,48.1,21975,,4,3,NULL
07/16/2022,Hispanic/Latino,Booster Dose,Any,48.5,20758,,4,3,NULL
07/23/2022,Hispanic/Latino,Booster Dose,Any,48.8,19989,,4,3,NULL
07/30/2022,Hispanic/Latino,Booster Dose,Any,49.1,19174,,4,3,NULL
08/06/2022,Hispanic/Latino,Booster Dose,Any,49.4,18338,,4,3,NULL
08/13/2022,Hispanic/Latino,Booster Dose,Any,49.8,17514,,4,3,NULL
08/20/2022,Hispanic/Latino,Booster Dose,Any,49.9,17023,,4,3,NULL
08/27/2022,Hispanic/Latino,Booster Dose,Any,50,16563,,4,3,NULL
08/21/2021,"Other, NH",Booster Dose,Any,0.5,2456,,5,3,NULL
08/28/2021,"Other, NH",Booster Dose,Any,0.6,2508,,5,3,NULL
09/04/2021,"Other, NH",Booster Dose,Any,0.7,2578,,5,3,NULL
09/11/2021,"Other, NH",Booster Dose,Any,0.8,2663,,5,3,NULL
09/18/2021,"Other, NH",Booster Dose,Any,0.9,2765,,5,3,NULL
09/25/2021,"Other, NH",Booster Dose,Any,1.1,2844,,5,3,NULL
10/02/2021,"Other, NH",Booster Dose,Any,2.7,2905,,5,3,NULL
10/09/2021,"Other, NH",Booster Dose,Any,3.8,2941,,5,3,NULL
10/16/2021,"Other, NH",Booster Dose,Any,5.6,2986,,5,3,NULL
10/23/2021,"Other, NH",Booster Dose,Any,7.3,3029,,5,3,NULL
10/30/2021,"Other, NH",Booster Dose,Any,9.6,3057,,5,3,NULL
11/06/2021,"Other, NH",Booster Dose,Any,12.2,3086,,5,3,NULL
11/13/2021,"Other, NH",Booster Dose,Any,14.9,3141,,5,3,NULL
11/20/2021,"Other, NH",Booster Dose,Any,17.6,3157,,5,3,NULL
11/27/2021,"Other, NH",Booster Dose,Any,20.4,3179,,5,3,NULL
12/04/2021,"Other, NH",Booster Dose,Any,23.5,3215,,5,3,NULL
12/11/2021,"Other, NH",Booster Dose,Any,26.6,3240,,5,3,NULL
12/18/2021,"Other, NH",Booster Dose,Any,30,3237,,5,3,NULL
12/25/2021,"Other, NH",Booster Dose,Any,32.9,3266,,5,3,NULL
01/01/2022,"Other, NH",Booster Dose,Any,35,3249,,5,3,NULL
01/08/2022,"Other, NH",Booster Dose,Any,38.2,3269,,5,3,NULL
01/15/2022,"Other, NH",Booster Dose,Any,41.1,3311,,5,3,NULL
01/22/2022,"Other, NH",Booster Dose,Any,44.4,3336,,5,3,NULL
01/29/2022,"Other, NH",Booster Dose,Any,46.4,3383,,5,3,NULL
02/05/2022,"Other, NH",Booster Dose,Any,47.7,3426,,5,3,NULL
02/12/2022,"Other, NH",Booster Dose,Any,49,3469,,5,3,NULL
02/19/2022,"Other, NH",Booster Dose,Any,49.7,3454,,5,3,NULL
02/26/2022,"Other, NH",Booster Dose,Any,50.4,3453,,5,3,NULL
03/05/2022,"Other, NH",Booster Dose,Any,51.5,3440,,5,3,NULL
03/12/2022,"Other, NH",Booster Dose,Any,52.4,3451,,5,3,NULL
03/19/2022,"Other, NH",Booster Dose,Any,52.5,3482,,5,3,NULL
03/26/2022,"Other, NH",Booster Dose,Any,52.7,3487,,5,3,NULL
04/02/2022,"Other, NH",Booster Dose,Any,53,3493,,5,3,NULL
04/09/2022,"Other, NH",Booster Dose,Any,53.4,3488,,5,3,NULL
04/16/2022,"Other, NH",Booster Dose,Any,53.8,3486,,5,3,NULL
04/23/2022,"Other, NH",Booster Dose,Any,54.3,3469,,5,3,NULL
04/30/2022,"Other, NH",Booster Dose,Any,54.4,3452,,5,3,NULL
05/07/2022,"Other, NH",Booster Dose,Any,54.7,3436,,5,3,NULL
05/14/2022,"Other, NH",Booster Dose,Any,54.7,3432,,5,3,NULL
05/21/2022,"Other, NH",Booster Dose,Any,55.3,3413,,5,3,NULL
05/28/2022,"Other, NH",Booster Dose,Any,55.2,3384,,5,3,NULL
06/04/2022,"Other, NH",Booster Dose,Any,55.6,3350,,5,3,NULL
11/13/2021,All Races/Ethnicity,Fully Vaccinated,Any,64.9,106669,,1,2,NULL
11/20/2021,All Races/Ethnicity,Fully Vaccinated,Any,65.4,106758,,1,2,NULL
11/27/2021,All Races/Ethnicity,Fully Vaccinated,Any,65.8,107069,,1,2,NULL
12/04/2021,All Races/Ethnicity,Fully Vaccinated,Any,66.3,107534,,1,2,NULL
12/11/2021,All Races/Ethnicity,Fully Vaccinated,Any,66.7,107443,,1,2,NULL
12/18/2021,All Races/Ethnicity,Fully Vaccinated,Any,67.1,107709,,1,2,NULL
12/25/2021,All Races/Ethnicity,Fully Vaccinated,Any,67.4,107657,,1,2,NULL
01/01/2022,All Races/Ethnicity,Fully Vaccinated,Any,67.7,108036,,1,2,NULL
01/08/2022,All Races/Ethnicity,Fully Vaccinated,Any,68,108129,,1,2,NULL
01/15/2022,All Races/Ethnicity,Fully Vaccinated,Any,68.3,108209,,1,2,NULL
01/22/2022,All Races/Ethnicity,Fully Vaccinated,Any,68.7,108122,,1,2,NULL
01/29/2022,All Races/Ethnicity,Fully Vaccinated,Any,69,108332,,1,2,NULL
02/05/2022,All Races/Ethnicity,Fully Vaccinated,Any,69.3,108558,,1,2,NULL
02/12/2022,All Races/Ethnicity,Fully Vaccinated,Any,69.5,108497,,1,2,NULL
02/19/2022,All Races/Ethnicity,Fully Vaccinated,Any,69.7,108300,,1,2,NULL
02/26/2022,All Races/Ethnicity,Fully Vaccinated,Any,69.9,108379,,1,2,NULL
03/05/2022,All Races/Ethnicity,Fully Vaccinated,Any,70,108326,,1,2,NULL
03/12/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.1,108203,,1,2,NULL
03/19/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.3,108053,,1,2,NULL
03/26/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.4,107998,,1,2,NULL
04/02/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.4,107707,,1,2,NULL
04/09/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.5,107413,,1,2,NULL
04/16/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.5,107134,,1,2,NULL
04/23/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.6,106715,,1,2,NULL
04/30/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.6,106184,,1,2,NULL
05/07/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.7,105482,,1,2,NULL
05/14/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.8,104646,,1,2,NULL
05/21/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.8,103644,,1,2,NULL
05/28/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.9,102428,,1,2,NULL
06/04/2022,All Races/Ethnicity,Fully Vaccinated,Any,71,100834,,1,2,NULL
06/11/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.1,99219,,1,2,NULL
06/18/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.1,97212,,1,2,NULL
06/25/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.2,95022,,1,2,NULL
07/02/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.2,92226,,1,2,NULL
07/09/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.2,89000,,1,2,NULL
07/16/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.2,83361,,1,2,NULL
07/23/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.3,80005,,1,2,NULL
07/30/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.3,76783,,1,2,NULL
08/06/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.3,73612,,1,2,NULL
08/13/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.2,70392,,1,2,NULL
08/20/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.3,68200,,1,2,NULL
08/27/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,66197,,1,2,NULL
01/09/2021,"Asian, NH",Fully Vaccinated,Any,0.5,15645,,2,2,NULL
01/16/2021,"Asian, NH",Fully Vaccinated,Any,1.5,15679,,2,2,NULL
01/23/2021,"Asian, NH",Fully Vaccinated,Any,2.4,15753,,2,2,NULL
01/30/2021,"Asian, NH",Fully Vaccinated,Any,3.8,15758,,2,2,NULL
02/06/2021,"Asian, NH",Fully Vaccinated,Any,5.4,15772,,2,2,NULL
02/13/2021,"Asian, NH",Fully Vaccinated,Any,7.3,15771,,2,2,NULL
02/20/2021,"Asian, NH",Fully Vaccinated,Any,8.6,15785,,2,2,NULL
02/27/2021,"Asian, NH",Fully Vaccinated,Any,9.5,15860,,2,2,NULL
03/06/2021,"Asian, NH",Fully Vaccinated,Any,10.6,15894,,2,2,NULL
03/13/2021,"Asian, NH",Fully Vaccinated,Any,12,15909,,2,2,NULL
03/20/2021,"Asian, NH",Fully Vaccinated,Any,14,15951,,2,2,NULL
03/27/2021,"Asian, NH",Fully Vaccinated,Any,16.3,15999,,2,2,NULL
04/03/2021,"Asian, NH",Fully Vaccinated,Any,18.8,15994,,2,2,NULL
04/10/2021,"Asian, NH",Fully Vaccinated,Any,22.7,15953,,2,2,NULL
04/17/2021,"Asian, NH",Fully Vaccinated,Any,27,15954,,2,2,NULL
04/24/2021,"Asian, NH",Fully Vaccinated,Any,31.9,15910,,2,2,NULL
05/01/2021,"Asian, NH",Fully Vaccinated,Any,36.9,15896,,2,2,NULL
05/08/2021,"Asian, NH",Fully Vaccinated,Any,42,15909,,2,2,NULL
